hour	text	text_posTagged	hasMedia	hasHashtag	followers_count	sentiment	emojis	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	retweet_count	favourite_count
16	savings alert pick up our shape tape matte or hydrating foundation for only 23 usd at shop	NNS VBP VB RP PRP$ NN NN NN CC VBG NN IN RB CD NNS IN NN	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	21	165
15	oh no please email social and our customer service team can help	UH DT VB JJ JJ CC PRP$ NN NN NN MD VB	0	0	801745	0.5242	1	0	0	0	0	0	0	0	1	0	0
11	look poppin with just a pop of flush with our amazonian clay 12hr blushes the amazonian clay helps control oil	NN NN IN RB DT NN IN NN IN PRP$ JJ NN CD NNS DT JJ NN VBZ VB NN	0	0	801745	0.4389	1	0	0	0	0	0	0	1	0	13	239
3	yup	NN	1	1	801745	0.0	1	0	0	0	0	0	0	0	0	272	861
1	huge happening on our ig with our friends at head on over there to enter now	JJ VBG IN PRP$ NN IN PRP$ NNS IN NN IN IN EX TO VB RB	1	1	801745	0.7525	1	0	0	0	0	0	0	0	0	109	622
1	oh no please email your order to social so we can take a look	UH DT VB VB PRP$ NN TO JJ IN PRP MD VB DT NN	0	0	801745	0.1007	1	0	0	0	0	0	0	0	0	0	0
23	truth	NN	1	1	801745	0.4648	1	0	0	0	0	0	0	0	1	60	287
20	rt the sweet escape collectors set is the best thing	VB DT JJ NN NNS VBP VBZ DT JJS NN	0	0	801745	0.836	1	0	2	0	1	1	0	1	1	1	0
19	cant escape to the tropics bring them to your lids using our new limitededition sweet escape collectors set	JJ NN TO DT NNS VBG PRP TO PRP$ NNS VBG PRP$ JJ NN JJ NN NNS VBD	0	0	801745	0.2415	1	0	3	0	2	1	0	1	1	36	370
19	rt once you go you can never go back	NN RB PRP VBP PRP MD RB VB RB	0	0	801745	0.0	0	0	0	0	0	0	0	0	0	34	0
18	oh no please email your order to social amp we can help	UH DT VB VB PRP$ NN TO JJ IN PRP MD VB	0	0	801745	0.4753	1	0	0	0	0	0	0	0	0	0	0
17	rt finally got the shape tape foundation and im in loveeee	NN RB VBD DT NN NN NN CC NN IN NN	0	0	801745	0.0	1	0	1	1	0	1	0	1	1	1	0
16	rt currently obsessed with s love trust fairy dust eyeshadow palette its so pretty and i love all of the	NN RB VBN IN NN NN NN NN NN NN NN PRP$ IN JJ CC JJ VBP DT IN DT	0	0	801745	0.9443	1	0	1	0	0	3	0	0	2	2	0
16	oh no please email your order to social amp our cs team can help	UH DT VB VB PRP$ NN TO JJ VB PRP$ NN NN MD VB	0	0	801745	0.4753	1	0	0	0	0	0	0	0	1	0	0
15	part 1 of sunday scaries	NN CD IN NN NNS	1	1	801745	0.0	1	0	0	0	0	0	0	0	0	70	316
13	rt i just bought lights camera lashes from this shit is fucking life changing	NN NN RB VBD NNS NN VBZ IN DT NN VBZ VBG NN VBG	0	0	801745	-0.6428	0	1	0	1	0	0	0	0	0	8	0
13	rt im obsessed with the mascara its my	NN NNS VBN IN DT NN PRP$ PRP$	0	1	801745	-0.1779	1	0	0	0	0	0	0	0	0	1	0
13	oh no please email your order to social so we can help	UH DT VB VB PRP$ NN TO JJ IN PRP MD VB	0	0	801745	0.5644	1	0	0	0	0	0	0	0	0	0	2
13	rt my favorite product is everything	VB PRP$ JJ NN VBZ NN	0	0	801745	0.4588	0	0	0	0	0	1	0	0	1	15	0
13	gorg	NN	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	1	1
13	let us know your thoughts	VB PRP VB PRP$ NNS	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	0	1
13	rt today i finished another tube of tarte beach babe lipstick which makes that the 3rd tube ive gone through ive never	NN NN VB VBD DT NN IN JJ NN NN NN WDT VBZ IN DT CD NN JJ VBN IN JJ RB	0	0	801745	0.0	0	0	0	0	0	1	0	0	0	9	0
13	rt i dont think theres a single thing from the amazonian clay line i dont like i love it all	NN NN VBP VBP VBZ DT JJ NN IN DT JJ NN NN VBP VBP IN NN VBP PRP DT	0	0	801745	0.8658	1	0	0	0	0	1	0	0	0	6	0
11	current relationship status with the gym	JJ NN NN IN DT NN	1	1	801745	0.0	1	0	0	0	0	0	0	0	0	249	1151
3	wake us up when were in paradise stay party ready whenever wherever with our new here today gone to maui col	NN PRP RP WRB VBD IN NN NN NN JJ WRB RB IN PRP$ JJ RB NN VBN TO VB NN	0	0	801745	0.8555	1	0	1	0	0	0	0	0	0	21	158
1	110 accurate	CD NN	1	1	801745	0.0	1	0	0	0	0	0	0	0	1	93	484
1	oh no please email social and our customer service team can help	UH DT VB JJ JJ CC PRP$ NN NN NN MD VB	0	0	801745	0.4753	1	0	0	0	0	0	0	0	1	0	1
23	see ya later dark circles hyperpigmentation amp redness cover every imperfection without looking chalky cakey o	VB RB RB JJ NNS NN IN NN NN DT NN IN VBG NN NN NN	0	0	801745	0.5411	1	0	0	0	0	0	1	0	1	8	152
19	how flamingood our new lets flamingle brush set comes with 5 fullsize brushes for only 44 usd set	WRB NN PRP$ JJ NNS VBP NN VBN VBZ IN CD NNS NNS IN RB CD JJ NN	0	1	801745	-0.7887	1	0	0	0	0	0	0	0	0	14	146
3	flock yeah our og lights camera lashes 4in1 mascara got a limitededition tropical makeover grab yours now	NN NN PRP$ JJ NNS NN VBZ CD NN VBD DT NN JJ NN NN NNS RB	0	0	801745	0.4184	1	1	0	0	0	0	0	0	0	12	102
1	especially when youre in the fitting room	RB WRB NN IN DT NN NN	1	1	801745	0.0	1	0	1	0	0	1	0	0	1	135	799
1	oh no please email social and our customer service team can help	UH DT VB JJ JJ CC PRP$ NN NN NN MD VB	0	0	801745	0.4753	1	0	0	0	0	0	0	0	1	1	2
0	our top 3 holy grail faves were the winners of reviewers choice awards best in beauty can you	PRP$ JJ CD JJ NN NNS VBD DT NNS IN NNS NN NNS RB IN NN MD PRP	0	0	801745	0.9499	1	0	1	0	0	1	0	0	1	7	73
23	want to learn how to get this glowy fall look watch this	NN TO VB WRB TO VB DT NN NN NN NN DT	1	1	801745	0.3058	1	0	1	0	1	0	1	0	0	7	145
21	not onenot twobut three awards reviewers choice awards best in beauty best luxury conce	RB JJ NNS CD NNS NNS NN NNS RB IN NN JJS NN NN	0	0	801745	0.9681	1	0	0	0	0	2	0	0	0	5	70
19	hi have you emailed social if so please dm us your email address	NN VB PRP VBN JJ IN RB JJ VB PRP PRP$ NN NN	0	0	801745	0.7255	1	0	0	0	0	0	0	0	0	0	0
19	oh no please email social and our customer service team can help	UH DT VB JJ JJ CC PRP$ NN NN NN MD VB	0	0	801745	0.7088	1	0	0	0	0	0	0	0	1	0	0
19	rt	NN	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	36	0
19	daily dilemma	JJ NN	1	1	801745	-0.1779	1	0	1	0	0	0	0	0	0	134	507
17	our busy gal brows tinted brow gel takin home the win for best of beauty awards 2018	PRP$ JJ JJ NNS VBD NN NN VBD NN DT NN IN JJS IN NN NNS CD	0	0	801745	0.9491	1	0	0	0	0	1	0	0	0	3	57
15	how clutch is this our new life of the party clay blush palette amp clutch this musthave set comes with 5 remo	WRB NN VBZ DT PRP$ JJ NN IN DT NN NN NN NN NN NN DT NN VBN VBZ IN CD NN	0	0	801745	0.508	1	0	0	0	0	0	0	0	0	27	202
14	influenster reviewers choice awards best in beauty best luxury face oil goes to tarte maracuja oil	NN NNS NN NNS RB IN NN JJS NN NN NN VBZ TO VB JJ NN	0	0	801745	0.9512	1	0	0	0	0	2	0	0	0	2	82
14	hi did you put the cap back on before twisting that will help sharpen the new tip if its the end of	NN VBD PRP VB DT NN RB IN IN VBG DT MD VB VB DT JJ NN IN PRP$ DT NN IN	0	0	801745	0.4574	0	1	2	0	0	0	0	0	1	0	0
14	influenster reviewers choice awards best in beauty best luxury blush goes to tarte amazonian clay 12	NN NNS NN NNS RB IN NN JJS NN NN VBZ TO VB JJ NN CD	0	0	801745	0.9512	1	0	0	0	0	2	0	0	0	5	109
14	please email social and our customer service team can help	VB JJ JJ CC PRP$ NN NN NN MD VB	0	0	801745	0.7783	1	0	0	0	0	0	0	0	1	0	2
14	oh no please email social and our customer service team can help	UH DT VB JJ JJ CC PRP$ NN NN NN MD VB	0	0	801745	0.7088	1	0	0	0	0	0	0	0	1	0	0
14	influenster reviewers choice awards best in beauty best luxury concealer goes to tarte shape tape co	NN NNS NN NNS RB IN NN JJS NN NN VBZ TO VB NN NN NN	0	0	801745	0.9512	1	0	0	0	0	2	0	0	0	8	109
11	pretty in pink using our eye amp cheek palette sweep giggle in the crease deepen the crea	RB IN NN VBG PRP$ NN NN NN NN JJ NN IN DT NN VB DT NN	0	1	801745	0.7424	1	0	1	0	0	2	0	0	1	30	243
3	squad	NN	1	1	801745	0.0	1	0	0	0	0	0	0	0	0	52	343
1	let us know	VB PRP VB	1	1	801745	0.0	1	0	0	0	0	0	0	0	0	25	526
1	please email your order to social amp we can help asap	VB VB PRP$ NN TO JJ IN PRP MD VB VB	0	0	801745	0.6124	1	0	0	0	0	0	0	0	0	0	0
1	oh no please email your order to social amp our cs team can help	UH DT VB VB PRP$ NN TO JJ VB PRP$ NN NN MD VB	0	0	801745	0.4753	1	0	0	0	0	0	0	0	1	0	0
1	yay	NN	0	0	801745	0.6625	1	0	0	0	0	0	0	0	0	0	0
23	bold holiday eye look feat newness w lexwatch	JJ NN NN NN NN JJ NN NN	1	1	801745	0.4574	1	0	2	0	0	2	0	1	0	8	84
22	were so sorry to hear this please email social so we can help	VBD RB JJ TO VB DT VB JJ JJ IN PRP MD VB	0	0	801745	0.6472	1	0	0	0	0	0	0	0	0	0	0
22	rt takin a trip down memory lane with what was the first product you ever recieved in your b	NN VBZ DT NN RP NN NN IN WP VBD DT JJ NN PRP RB VBD IN PRP$ NN	0	0	801745	0.0	1	0	0	0	0	0	0	1	0	20	0
20	how cute amp convenient is this drawstring bag sign up to become a tarte rewards member to score this baby with	WRB JJ JJ NN VBZ DT VBG NN NN RP TO VB DT JJ NNS NN TO VB DT NN IN	0	0	801745	0.8498	1	0	1	0	0	2	0	1	0	27	254
19	with your order number	IN PRP$ NN NN	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	0	0
19	yaass	NN	0	0	801745	0.0	0	0	0	0	0	0	0	0	0	0	1
19	oh no please email us at social so we can help asap	UH DT VB VB PRP IN JJ IN PRP MD VB VB	0	0	801745	0.5644	0	0	0	0	0	0	0	0	0	0	0
18	lookin like a glazed donut is life	NNS IN DT JJ NN VBZ NN	0	0	801745	0.4738	0	0	0	0	0	0	0	0	0	0	1
18	we feel ya	PRP VBP RB	0	0	801745	0.4926	1	0	0	0	0	0	0	0	0	0	1
17	were sorry to hear this please email your order number to social so we can help	VBD JJ TO VB DT VB VB PRP$ NN NN TO JJ IN PRP MD VB	0	0	801745	0.7329	0	0	0	0	0	0	0	0	0	0	0
17	the perfect everyday lash enhance your peepers with our amp latexfree tarteist pro crueltyfree lashes in	DT JJ JJ JJ VB PRP$ NNS IN PRP$ NNS VBP JJ JJ NN NNS IN	0	1	801745	0.87	1	1	1	0	1	1	0	0	1	5	153
15	spotted in best of beauty awards 2018 our busy gal brows tinted brow gel	VBN IN JJS IN NN NNS CD PRP$ JJ JJ NNS VBD NN NN	0	0	801745	0.9165	1	0	0	0	0	1	0	0	0	7	99
14	hola por favor manda una mensaje a social con su numero de orden	NN NNS VBP JJ JJ NN DT JJ NN JJ NN IN FW	0	0	801745	0.508	1	0	0	0	0	0	0	0	0	0	0
14	minions make everything better	NNS VBP NN RBR	0	0	801745	0.7263	1	0	0	0	0	0	0	0	0	0	1
11	we love a pop of color adds some flush to her cheeks with our new blush book 4 hurry this baby	PRP VBP DT NN IN NN VBZ DT NN TO PRP$ NN IN PRP$ JJ NN NN CD NN DT NN	0	0	801745	0.6988	1	0	1	0	0	2	0	1	0	19	241
3	get ready	VB JJ	1	1	801745	0.3612	1	0	1	0	0	0	0	0	0	184	735
1	available on also	JJ IN RB	0	0	801745	0.4215	1	0	0	0	0	0	0	0	0	0	0
1	oh no please email your order to social amp we can help	UH DT VB VB PRP$ NN TO JJ IN PRP MD VB	0	0	801745	0.4753	1	0	0	0	0	0	0	0	0	0	0
1	here we go again	RB PRP VBP RB	1	1	801745	0.0	1	0	0	0	0	0	0	0	0	581	2185
23	dazzle your lids with rich vibrant pigment for a mirrored metallic effect using our chrome paint shadow pots the	VB PRP$ NNS IN JJ JJ NN IN DT JJ JJ NN VBG PRP$ NN NN NN NNS DT	0	0	801745	0.807	1	0	0	0	0	0	0	0	0	16	193
21	savings alert pick up our shape tape matte or hydrating foundation for only 23 usd at shop	NNS VBP VB RP PRP$ NN NN NN CC VBG NN IN RB CD NNS IN NN	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	15	121
21	our water foundation broad spectrum spf 15	PRP$ NN NN JJ NN VBD CD	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	0	1
19	tartelettes some of our new tropical treasures have arrived online at pick up this cute af limitedediti	VBZ DT IN PRP$ JJ JJ NNS VBP VBN NN IN NN RP DT NN NN NN	0	0	801745	0.743	0	0	0	0	0	0	0	0	0	14	147
19	oh no we recommend bringing it back to the store for an exchange	UH DT PRP VBP VBG PRP RB TO DT NN IN DT NN	0	0	801745	0.1511	1	0	1	0	0	0	0	0	2	0	0
16	oh noo please email your order to social amp our cs team can help	UH NN VB VB PRP$ NN TO JJ VB PRP$ NN NN MD VB	0	0	801745	0.6792	1	0	0	0	0	0	0	0	1	0	0
16	please email your order to social amp our cs team can help asap	VB VB PRP$ NN TO JJ VB PRP$ NN NN MD VB VB	0	0	801745	0.6476	1	0	0	0	0	0	0	0	1	0	0
16	ny area tartelettes we need your help swipe to check out these adorable pups from that are looking	JJ NN VBZ PRP VBP PRP$ NN NN TO VB RP DT JJ NNS IN DT VBP VBG	0	0	801745	0.7345	0	0	0	0	0	1	0	0	0	35	201
13	watch do her makeup using all tarte in zero gravity hint there may be a special discount cofe in	NN VBP PRP$ NN VBG DT NN IN CD NN NN EX MD VB DT JJ NN NN IN	0	0	801745	0.4574	1	0	1	0	1	1	0	0	0	8	100
13	rt im in these are too adorable so glad i was still able to buy these minutes to mermaid makeup br	NN NN IN DT VBP RB JJ RB JJ NN VBD RB JJ TO VB DT NNS TO VB NN NN	0	0	801745	0.8849	1	0	1	0	0	2	0	0	0	11	0
13	oh no please email social amp our cs team can help	UH DT VB JJ JJ IN PRP$ NN NN MD VB	0	0	801745	0.5242	1	0	0	0	0	0	0	0	1	0	1
12	so amazing	RB JJ	0	0	801745	0.8158	1	0	0	0	0	0	0	0	0	0	0
12	rt i just went to a party with a tarte lipstick and all the gals didnt stop even once talking about it	NN NN RB VBD TO DT NN IN DT NN NN CC PDT DT NNS VBP VB RB RB VBG IN PRP	0	0	801745	0.5556	0	0	0	0	0	0	0	0	0	3	0
12	omg loving it	IN VBG PRP	0	0	801745	0.636	1	0	0	0	0	1	0	0	1	8	142
12	morning we need new youtubers to watchdo you have a fave channel send us a link	NN PRP VBP JJ NNS TO VB PRP VBP DT JJ NN VB PRP DT NN	0	0	801745	0.6293	1	0	0	0	0	0	0	0	0	43	1069
12	rt did you know awake was inspired by the idea that you can find your beauty sleep in a bottle find yours now	NN VBD PRP VBP VB VBD VBN IN DT NN IN PRP MD VB PRP$ NN NN IN DT NN VB NNS RB	0	0	801745	0.7906	0	0	0	0	0	2	0	1	1	6	0
11	a tartelettes version of harry potters magical wand our buffer airbrush finish bamboo foundation brush use	DT JJ NN IN NN NNS JJ VBP PRP$ NN NN JJ NN NN NN NN	0	0	801745	0.0	1	1	1	0	0	1	1	1	0	18	168
1	s h o o k swatches of our tartelette toasted eyeshadow palette infused with amazonian clay for pigmented amp smo	NN NN JJ NN NN NNS IN PRP$ NN VBD JJ NN VBN IN JJ NN IN JJ NN NN	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	45	442
21	have you guys been tracking our adopted turtle turtlettes journey track her here	VB PRP VBP VBN VBG PRP$ JJ NN VBZ NN NN PRP$ RB	0	0	801745	0.0	1	0	2	0	1	1	0	0	0	18	144
21	haha this is amazing so glad you love everything	NN DT VBZ VBG RB JJ PRP VBP NN	0	0	801745	0.9495	1	0	1	0	0	2	0	0	0	1	2
21	oh no were so sorry to see this please email us at social with your order so we can help you out asap	UH DT VBD RB JJ TO VB DT VB VB PRP IN JJ IN PRP$ NN IN PRP MD VB PRP RP NNS	0	0	801745	0.5678	1	0	0	0	0	0	0	0	0	0	0
20	rt if you can relate	NN IN PRP MD VB	1	1	801745	0.4404	1	0	0	0	0	0	0	0	0	87	265
20	savings alert pick up our shape tape matte or hydrating foundation for only 23 usd at shop	NNS VBP VB RP PRP$ NN NN NN CC VBG NN IN RB CD NNS IN NN	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	14	132
18	rt today is a day foundation concealer eyes mascara liner and lips dont try me tuesday	NN NN VBZ DT NN NN NN NNS VBP NN CC NNS NN VB PRP JJ	0	0	801745	0.0	0	0	0	0	0	0	0	0	0	1	0
18	rt just looking at this lipstick and lip crayon makes me think of fall season trends	NN RB VBG IN DT NN CC NN NN VBZ PRP VB IN NN NN NNS	0	1	801745	0.0	1	0	0	0	0	0	1	0	0	5	0
18	rt who else cant get enough palettesso many beautifully packaged amp great working products by this	NN WP RB VBP VB JJ NN JJ RB VBN RB JJ VBG NNS IN DT	0	0	801745	0.8316	1	0	0	0	0	0	0	0	0	9	0
18	the 10shade palette features eight blushes one bronzer and one highlighter all you need to keep you glowing t	DT CD NN NNS CD NNS CD NN CC CD NN DT PRP VBP TO VB PRP VBG NNS	0	0	801745	0.0	0	0	0	0	0	0	0	0	0	6	58
16	this is heaven	DT VBZ JJ	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	0	0
16	winning af get our new deluxe tarteist dream team liner trio for only 17 usd a 36 value a selfsharpenin	VBG NN VB PRP$ JJ JJ NN NN NN NN NN IN RB CD VBD DT CD NN DT NN	0	0	801745	0.7627	1	0	1	1	0	1	1	1	2	16	185
15	we would recommend between 27s and 29h	PRP MD VB IN CD CC CD	0	0	801745	0.4199	1	0	0	0	0	0	0	0	1	0	1
13	happy early birthday gorgeous	JJ JJ NN JJ	0	0	801745	0.8398	1	0	2	0	0	3	0	1	1	0	1
13	hi love we ship to south africa through	NN NN PRP VBP TO VB RP IN	0	0	801745	0.6696	0	0	1	0	0	1	0	0	0	0	0
13	shape tape is an ulta exclusive we ship it to australia from	NN NN VBZ DT JJ JJ PRP VBP PRP TO VB IN	0	0	801745	0.128	1	0	1	0	0	0	0	0	0	0	0
13	lovee	NN	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	0	1
13	hi joleen we would recommend our shape tape matte foundation literally a filter in a bottle	NN NN PRP MD VB PRP$ NN NN NN NN RB DT NN IN DT NN	0	0	801745	0.5229	1	0	0	0	0	0	0	0	1	0	1
12	rt shoutout to for making bomb pro glo highlight and contour kits so my face looks glossy all day long	NN NN TO IN VBG JJ JJ NN NN CC NN NNS IN PRP$ NN VBZ JJ DT NN RB	0	0	801745	-0.2023	1	1	1	0	1	0	1	1	0	3	0
12	hot deal alert score our shape tape matte or hydrating foundation for only 23 usd at shop	JJ NN NN VBD PRP$ NN NN NN CC VBG NN IN RB CD NNS IN NN	0	0	801745	0.0	1	1	2	0	0	2	0	2	1	19	206
